06.05.08;51.58;01:33:49;36.56;55.34;31,11;42,66;Sonnig;2;11;k. A.;Ost;23,2;Klinkum, Wegberg, Beeck, Busch, Broich, Beeck, Moorshoven, Rath-Anhoven,Erkelenz,Rath-Anhoven, Kehrbusch, Schwannenberg, Gerderhahn, Gerderrath, Flughafen, Petersholz, Arsbeck
07.05.08;55,31;01:40:32;36.40;55.48;31,74;41,88;Sonnig;2;7;k. A.;Ost;23,1;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
08.05.08;44,01;01:19:43;37.34;55.28;32,04;41,51;Sonnig;3;14;k. A.;Ost;23,7;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
10.05.08;55,58;01:39:38;37.04;56.09;32,71;45,16;Sonnig;3;14;k. A.;Ost;26,1;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
13.05.08;55,33;01:40:31;37.29;56.04;31,87;43,87;Wokig;2;7;k. A.;Nord- Ost;24,2;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
14.05.08;55,15;01:41:40;37.01;56.20;31,58;41,88;Sonnig;2;11;k. A.;Sued- Ost;23,9;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
18.05.08;44,12;01:21:02;36.25;56.10;32,28;40,06;Bedeckt;2;7;k. A.;Nord- Ost;10,7;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
20.05.08;55,16;01:39:08;36.08;55.02;32,21;40,41;Leicht bew.;2;7;k. A.;Nord- Ost;16,7;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
21.05.08;40,66;01:13:21;36.16;53.58;32,32;43,05;Leicht bew.;2;11;k. A.;Ost;17,8;Klinkum, Wegberg, Beeck, Busch, Broich, Beeck, Moorshoven, Rath-Anhoven, Kehrbusch, Schwannenberg, Gerderhahn, Gerderrath, Flughafen, Petersholz, Arsbeck
23.05.08;62,47;01:54:51;37.08;56.27;32,02;46,74;Leicht bew.;2;11;k. A.;Ost;19,5;Dahlheim, Rothenbach, Elfenmeer, Oberkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
